,Time,Hour,Load,PIKL
0,2017-03-18,0,1031471.62805707,1021050.8192362698
1,2017-03-18 01:00:00,1,1007205.57843707,998996.6635729542
2,2017-03-18 02:00:00,2,986108.40071707,980110.2206242234
3,2017-03-18 03:00:00,3,970760.96691707,965918.1876542105
4,2017-03-18 04:00:00,4,962258.36501707,958253.4867376704
5,2017-03-18 05:00:00,5,963847.92895707,959649.9562093143
6,2017-03-18 06:00:00,6,971662.22283707,958853.8283219342
7,2017-03-18 07:00:00,7,998667.46427707,975355.0864643381
8,2017-03-18 08:00:00,8,1060601.55717707,1047136.9733462166
9,2017-03-18 09:00:00,9,1141662.50979707,1130849.6412622673
10,2017-03-18 10:00:00,10,1195234.88093707,1182215.6632241677
11,2017-03-18 11:00:00,11,1208175.00293707,1196757.0182853637
12,2017-03-18 12:00:00,12,1216409.31893707,1195779.9960072683
13,2017-03-18 13:00:00,13,1211771.52893707,1183679.3940677587
14,2017-03-18 14:00:00,14,1216184.22893707,1185787.4335006701
15,2017-03-18 15:00:00,15,1210429.86693707,1176688.1492965473
16,2017-03-18 16:00:00,16,1200877.59753707,1163486.8044201385
17,2017-03-18 17:00:00,17,1169031.23787707,1139393.4900714126
18,2017-03-18 18:00:00,18,1150271.29025707,1122499.5301491711
19,2017-03-18 19:00:00,19,1126710.73273707,1105301.4710683143
20,2017-03-18 20:00:00,20,1109004.81507707,1087458.5130390332
21,2017-03-18 21:00:00,21,1095988.83535707,1073206.2950011748
22,2017-03-18 22:00:00,22,1075547.20365707,1051865.2787352896
23,2017-03-18 23:00:00,23,1049039.52593707,1028108.0692029316
24,2017-03-19,0,1021744.29423707,1024165.3472690973
25,2017-03-19 01:00:00,1,999585.88257707,999811.6094770998
26,2017-03-19 02:00:00,2,977538.64483707,978911.2072678435
27,2017-03-19 03:00:00,3,966271.96903707,964108.512423248
28,2017-03-19 04:00:00,4,957773.50111707,955732.6162925534
29,2017-03-19 05:00:00,5,956473.46911707,954952.4372988935
30,2017-03-19 06:00:00,6,941449.47333707,961494.0567400227
31,2017-03-19 07:00:00,7,935907.80933707,971271.023620417
32,2017-03-19 08:00:00,8,960497.56691707,954826.2381882153
33,2017-03-19 09:00:00,9,987858.20059707,994092.9342475261
34,2017-03-19 10:00:00,10,1012382.68833707,1024389.0402296771
35,2017-03-19 11:00:00,11,1029778.86405707,1042378.1621036617
36,2017-03-19 12:00:00,12,1034794.90201707,1048323.2276297997
37,2017-03-19 13:00:00,13,1026072.75617707,1044170.5276989084
38,2017-03-19 14:00:00,14,1026203.91615707,1043526.1237541767
39,2017-03-19 15:00:00,15,1025117.76215707,1040318.9408386019
40,2017-03-19 16:00:00,16,1019965.67025707,1033135.1789143326
41,2017-03-19 17:00:00,17,1014069.37229707,1023621.7331950964
42,2017-03-19 18:00:00,18,1016996.68025707,1030146.8501501065
43,2017-03-19 19:00:00,19,1032056.24211707,1039060.3898939893
44,2017-03-19 20:00:00,20,1032000.93605707,1038660.8576105639
45,2017-03-19 21:00:00,21,1025865.78619707,1035366.2294905332
46,2017-03-19 22:00:00,22,1016097.46435707,1023952.2784254445
