,Time,Hour,Load,WeakL
0,2017-03-18,0,1031471.62805707,1021052.4809132796
1,2017-03-18 01:00:00,1,1007205.57843707,998997.05653284
2,2017-03-18 02:00:00,2,986108.40071707,980108.8393962478
3,2017-03-18 03:00:00,3,970760.96691707,965916.5913268662
4,2017-03-18 04:00:00,4,962258.36501707,958250.3596632447
5,2017-03-18 05:00:00,5,963847.92895707,959643.4260247847
6,2017-03-18 06:00:00,6,971662.22283707,958843.7551631668
7,2017-03-18 07:00:00,7,998667.46427707,975333.7116633262
8,2017-03-18 08:00:00,8,1060601.55717707,1047085.9402634158
9,2017-03-18 09:00:00,9,1141662.50979707,1130804.7949128498
10,2017-03-18 10:00:00,10,1195234.88093707,1182169.5406937792
11,2017-03-18 11:00:00,11,1208175.00293707,1196708.047595555
12,2017-03-18 12:00:00,12,1216409.31893707,1195734.488771368
13,2017-03-18 13:00:00,13,1211771.52893707,1183635.8031159746
14,2017-03-18 14:00:00,14,1216184.22893707,1185741.9189661576
15,2017-03-18 15:00:00,15,1210429.86693707,1176640.483124658
16,2017-03-18 16:00:00,16,1200877.59753707,1163439.3455063552
17,2017-03-18 17:00:00,17,1169031.23787707,1139341.9140462775
18,2017-03-18 18:00:00,18,1150271.29025707,1122451.9669687646
19,2017-03-18 19:00:00,19,1126710.73273707,1105266.4081353531
20,2017-03-18 20:00:00,20,1109004.81507707,1087435.7429667637
21,2017-03-18 21:00:00,21,1095988.83535707,1073191.7757510107
22,2017-03-18 22:00:00,22,1075547.20365707,1051856.4352252646
23,2017-03-18 23:00:00,23,1049039.52593707,1028102.9818071746
24,2017-03-19,0,1021744.29423707,1024160.6076189242
25,2017-03-19 01:00:00,1,999585.88257707,999807.555190042
26,2017-03-19 02:00:00,2,977538.64483707,978908.249640263
27,2017-03-19 03:00:00,3,966271.96903707,964106.3081140096
28,2017-03-19 04:00:00,4,957773.50111707,955731.1349605711
29,2017-03-19 05:00:00,5,956473.46911707,954952.3459976818
30,2017-03-19 06:00:00,6,941449.47333707,961497.8538187005
31,2017-03-19 07:00:00,7,935907.80933707,971284.8743589582
