,Time,Hour,Load,WeakL
0,2017-03-18,0,1031471.62805707,1031534.1522526332
1,2017-03-18 01:00:00,1,1007205.57843707,1005037.7845417949
2,2017-03-18 02:00:00,2,986108.40071707,984209.5222993912
3,2017-03-18 03:00:00,3,970760.96691707,966200.0649663486
4,2017-03-18 04:00:00,4,962258.36501707,959979.8989558923
5,2017-03-18 05:00:00,5,963847.92895707,961714.3807185624
6,2017-03-18 06:00:00,6,971662.22283707,956653.2526164285
7,2017-03-18 07:00:00,7,998667.46427707,974902.7826164989
8,2017-03-18 08:00:00,8,1060601.55717707,1065322.0681736458
9,2017-03-18 09:00:00,9,1141662.50979707,1142919.1010275127
10,2017-03-18 10:00:00,10,1195234.88093707,1181750.8522572522
11,2017-03-18 11:00:00,11,1208175.00293707,1193982.1620519634
12,2017-03-18 12:00:00,12,1216409.31893707,1194700.5790305412
13,2017-03-18 13:00:00,13,1211771.52893707,1183027.6764210772
14,2017-03-18 14:00:00,14,1216184.22893707,1186268.1660604875
15,2017-03-18 15:00:00,15,1210429.86693707,1175792.855324011
16,2017-03-18 16:00:00,16,1200877.59753707,1162734.316620714
17,2017-03-18 17:00:00,17,1169031.23787707,1131225.1954894983
18,2017-03-18 18:00:00,18,1150271.29025707,1113557.7007295333
19,2017-03-18 19:00:00,19,1126710.73273707,1096385.34998098
20,2017-03-18 20:00:00,20,1109004.81507707,1083954.2780598002
21,2017-03-18 21:00:00,21,1095988.83535707,1070254.5796583388
22,2017-03-18 22:00:00,22,1075547.20365707,1053523.159725534
23,2017-03-18 23:00:00,23,1049039.52593707,1032342.6035699385
24,2017-03-19,0,1021744.29423707,1018164.252013459
25,2017-03-19 01:00:00,1,999585.88257707,996211.5560144711
26,2017-03-19 02:00:00,2,977538.64483707,973146.2018687895
27,2017-03-19 03:00:00,3,966271.96903707,961594.6144176465
28,2017-03-19 04:00:00,4,957773.50111707,952124.5597527632
29,2017-03-19 05:00:00,5,956473.46911707,951719.2472549998
30,2017-03-19 06:00:00,6,941449.47333707,963517.4932941683
31,2017-03-19 07:00:00,7,935907.80933707,975079.5714820297
32,2017-03-19 08:00:00,8,960497.56691707,976189.1928104677
33,2017-03-19 09:00:00,9,987858.20059707,1023062.5006086917
34,2017-03-19 10:00:00,10,1012382.68833707,1034793.3564259786
35,2017-03-19 11:00:00,11,1029778.86405707,1042623.1366545223
36,2017-03-19 12:00:00,12,1034794.90201707,1043776.9176650167
37,2017-03-19 13:00:00,13,1026072.75617707,1040051.0483945834
38,2017-03-19 14:00:00,14,1026203.91615707,1042724.1385087231
39,2017-03-19 15:00:00,15,1025117.76215707,1038210.165192186
40,2017-03-19 16:00:00,16,1019965.67025707,1032216.8662072907
41,2017-03-19 17:00:00,17,1014069.37229707,1014013.2314755326
42,2017-03-19 18:00:00,18,1016996.68025707,1019925.2640018135
43,2017-03-19 19:00:00,19,1032056.24211707,1027948.5618453582
44,2017-03-19 20:00:00,20,1032000.93605707,1031656.1260920082
45,2017-03-19 21:00:00,21,1025865.78619707,1029544.6023150912
46,2017-03-19 22:00:00,22,1016097.46435707,1021976.4172225924
47,2017-03-19 23:00:00,23,1005315.68855707,1006815.5361864893
48,2017-03-20,0,987190.01881707,997416.2541078647
49,2017-03-20 01:00:00,1,967204.13105707,976382.007924359
50,2017-03-20 02:00:00,2,950232.04531707,956047.1995199518
51,2017-03-20 03:00:00,3,940618.20343707,951726.8669870183
52,2017-03-20 04:00:00,4,938838.09147707,947017.1478741684
53,2017-03-20 05:00:00,5,945081.54535707,957930.9988719
54,2017-03-20 06:00:00,6,973593.41493707,982780.4832966903
55,2017-03-20 07:00:00,7,1039951.76369707,1049636.5327664006
56,2017-03-20 08:00:00,8,1155230.23375707,1166485.202010109
57,2017-03-20 09:00:00,9,1275774.73773707,1281449.4398428057
58,2017-03-20 10:00:00,10,1333642.53313707,1335603.6910833886
59,2017-03-20 11:00:00,11,1344260.48533707,1346344.3519067317
60,2017-03-20 12:00:00,12,1337270.30533707,1355080.447584724
61,2017-03-20 13:00:00,13,1321022.66533707,1357803.8359643111
62,2017-03-20 14:00:00,14,1325809.01333707,1372948.8722186508
63,2017-03-20 15:00:00,15,1322490.78733707,1374766.4409619411
64,2017-03-20 16:00:00,16,1321726.56533707,1367953.788638549
65,2017-03-20 17:00:00,17,1289828.91413707,1321434.752845858
66,2017-03-20 18:00:00,18,1238524.57873707,1271137.0624026607
67,2017-03-20 19:00:00,19,1194435.46759707,1213515.9969026104
68,2017-03-20 20:00:00,20,1151563.63249707,1167321.1501785421
69,2017-03-20 21:00:00,21,1116035.55501707,1139679.7579454114
70,2017-03-20 22:00:00,22,1091370.07551707,1108922.0677701924
71,2017-03-20 23:00:00,23,1061752.06595707,1072088.521633266
72,2017-03-21,0,1032739.17037707,1023399.6839435799
73,2017-03-21 01:00:00,1,1003462.01681707,1001656.077816247
74,2017-03-21 02:00:00,2,986411.58103707,982205.85881202
75,2017-03-21 03:00:00,3,975442.36921707,968599.5613309942
76,2017-03-21 04:00:00,4,971071.48139707,966321.4473396002
77,2017-03-21 05:00:00,5,973178.17933707,974799.0288075878
78,2017-03-21 06:00:00,6,990731.26097707,995221.6565350592
79,2017-03-21 07:00:00,7,1044374.83405707,1057886.6440473087
80,2017-03-21 08:00:00,8,1148047.44431707,1173245.7006663643
81,2017-03-21 09:00:00,9,1249571.11653707,1279277.30378569
82,2017-03-21 10:00:00,10,1306543.89813707,1314753.6138309506
83,2017-03-21 11:00:00,11,1322956.70213707,1325641.24993588
84,2017-03-21 12:00:00,12,1324423.41953707,1326282.913978565
85,2017-03-21 13:00:00,13,1315972.68413707,1318960.9063687534
